brand,asin,product_title,reviewer_name,review_date,review_rating,review_title,review_body,verified_purchase,scraped_at
Safari,B0XBQMSO3I,Safari Ray 55 cm Small Cabin Trolley Luggage,Deepika B.,Reviewed in India on 01 July 2025,2.7,Disappointing experience,The material scratches very easily — bag looks old after one trip. Expected better from a brand at this price range.,True,2026-04-10T05:47:58
Safari,B0XBQMSO3I,Safari Ray 55 cm Small Cabin Trolley Luggage,Sneha B.,Reviewed in India on 06 October 2025,4.8,Great product!,"Would definitely buy again, no complaints at all.",True,2026-04-10T05:47:58
Safari,B0XBQMSO3I,Safari Ray 55 cm Small Cabin Trolley Luggage,Ritu T.,Reviewed in India on 25 January 2026,2.3,Disappointing experience,Packaging was poor and the bag arrived slightly bent.,False,2026-04-10T05:47:58
Safari,B0XBQMSO3I,Safari Ray 55 cm Small Cabin Trolley Luggage,Deepika R.,Reviewed in India on 09 February 2026,4.4,Great product!,"Great build, great quality. Bought two more for my family.",False,2026-04-10T05:47:58
Safari,B0XBQMSO3I,Safari Ray 55 cm Small Cabin Trolley Luggage,Suresh K.,Reviewed in India on 05 March 2026,1.2,Disappointing experience,Overpriced for the quality you get. Many better alternatives available.,True,2026-04-10T05:47:58
Safari,B0XBQMSO3I,Safari Ray 55 cm Small Cabin Trolley Luggage,Divya T.,Reviewed in India on 18 November 2025,4.8,Great product!,Handle mechanism is smooth and stays locked properly.,True,2026-04-10T05:47:58
Safari,B0K8VNY5IX,Safari Pentagon 65 cm Medium Check-in Trolley,Sanjay S.,Reviewed in India on 28 September 2025,5.0,Great product!,"360 degree spinner wheels work perfectly even on uneven surfaces. Would definitely buy again, no complaints at all.",True,2026-04-10T05:47:58
Safari,B0K8VNY5IX,Safari Pentagon 65 cm Medium Check-in Trolley,Divya P.,Reviewed in India on 05 April 2026,4.0,Great product!,Value for money is outstanding! Better than bags twice the price.,True,2026-04-10T05:47:58
Safari,B0K8VNY5IX,Safari Pentagon 65 cm Medium Check-in Trolley,Kavita K.,Reviewed in India on 13 June 2025,4.1,Great product!,"Perfect travel companion, just as described in the listing. Value for money is outstanding! Better than bags twice the price.",True,2026-04-10T05:47:58
Safari,B0K8VNY5IX,Safari Pentagon 65 cm Medium Check-in Trolley,Divya S.,Reviewed in India on 27 February 2026,4.8,Great product!,Handle locks at exactly the right position and doesn't collapse mid-walk.,True,2026-04-10T05:47:58
Safari,B0K8VNY5IX,Safari Pentagon 65 cm Medium Check-in Trolley,Manish N.,Reviewed in India on 05 January 2026,2.2,Disappointing experience,Expected better build quality given the brand reputation and price.,True,2026-04-10T05:47:58
Safari,B0K8VNY5IX,Safari Pentagon 65 cm Medium Check-in Trolley,Arjun T.,Reviewed in India on 22 November 2025,4.4,Great product!,"Build quality of the handle is excellent, feels like a premium product.",False,2026-04-10T05:47:58
Safari,B0E4ZPEQ3Y,Safari Thorium 8 Wheels 75 cm Large Trolley Bag,Kavita M.,Reviewed in India on 12 July 2025,4.8,Great product!,Handle mechanism is smooth and stays locked properly. Looks exactly like the pictures and arrived in perfect condition.,True,2026-04-10T05:47:58
Safari,B0E4ZPEQ3Y,Safari Thorium 8 Wheels 75 cm Large Trolley Bag,Aakash P.,Reviewed in India on 10 April 2025,1.5,Disappointing experience,Overpriced for the quality you get. Many better alternatives available. Returned the product after one use — quality was not up to standards.,False,2026-04-10T05:47:58
Safari,B0E4ZPEQ3Y,Safari Thorium 8 Wheels 75 cm Large Trolley Bag,Kavita S.,Reviewed in India on 10 January 2026,4.5,Great product!,"Build quality of the handle is excellent, feels like a premium product.",True,2026-04-10T05:47:58
Safari,B0E4ZPEQ3Y,Safari Thorium 8 Wheels 75 cm Large Trolley Bag,Kavita G.,Reviewed in India on 03 February 2026,4.4,Great product!,"The wheels glide so smoothly on airport floors, absolutely love it!",False,2026-04-10T05:47:58
Safari,B0E4ZPEQ3Y,Safari Thorium 8 Wheels 75 cm Large Trolley Bag,Deepika N.,Reviewed in India on 25 September 2025,4.6,Great product!,"Handle locks at exactly the right position and doesn't collapse mid-walk. Would definitely buy again, no complaints at all.",True,2026-04-10T05:47:58
Safari,B0E4ZPEQ3Y,Safari Thorium 8 Wheels 75 cm Large Trolley Bag,Manish R.,Reviewed in India on 15 September 2025,1.9,Disappointing experience,The outer coating started peeling after 4-5 uses.,True,2026-04-10T05:47:58
Safari,B0IFFK0ENS,Safari Polycarbonate 360 Degree Wheels Cabin Bag,Sanjay N.,Reviewed in India on 06 October 2025,4.6,Great product!,"Excellent quality for the price, would highly recommend.",True,2026-04-10T05:47:58
Safari,B0IFFK0ENS,Safari Polycarbonate 360 Degree Wheels Cabin Bag,Kavita N.,Reviewed in India on 16 August 2025,4.8,Great product!,"Great build, great quality. Bought two more for my family.",True,2026-04-10T05:47:58
Safari,B0IFFK0ENS,Safari Polycarbonate 360 Degree Wheels Cabin Bag,Kavita S.,Reviewed in India on 24 January 2026,2.0,Disappointing experience,Build quality has clearly gone down compared to older models. Packaging was poor and the bag arrived slightly bent.,False,2026-04-10T05:47:58
Safari,B0IFFK0ENS,Safari Polycarbonate 360 Degree Wheels Cabin Bag,Nisha P.,Reviewed in India on 16 May 2025,4.2,Great product!,"Great build, great quality. Bought two more for my family.",True,2026-04-10T05:47:58
Safari,B0IFFK0ENS,Safari Polycarbonate 360 Degree Wheels Cabin Bag,Amit B.,Reviewed in India on 27 August 2025,4.9,Great product!,Wheels are the highlight — silent and effortless on marble floors.,True,2026-04-10T05:47:58
Safari,B0IFFK0ENS,Safari Polycarbonate 360 Degree Wheels Cabin Bag,Anjali T.,Reviewed in India on 14 October 2025,5.0,Great product!,"Very comfortable grip on the handle, no strain even after long walks. Excellent quality for the price, would highly recommend.",True,2026-04-10T05:47:58
Safari,B0OG1SAJFR,Safari Tribe 4 Wheel Hard Luggage Set of 2,Rohit K.,Reviewed in India on 22 November 2025,2.1,Disappointing experience,Hard shell cracked slightly when airline handlers dropped it.,True,2026-04-10T05:47:58
Safari,B0OG1SAJFR,Safari Tribe 4 Wheel Hard Luggage Set of 2,Kavita B.,Reviewed in India on 26 December 2025,4.4,Great product!,"The telescopic handle is sturdy and ergonomic, perfect height for me.",False,2026-04-10T05:47:58
Safari,B0OG1SAJFR,Safari Tribe 4 Wheel Hard Luggage Set of 2,Meera M.,Reviewed in India on 30 November 2025,4.0,Great product!,"Would definitely buy again, no complaints at all.",True,2026-04-10T05:47:58
Safari,B0OG1SAJFR,Safari Tribe 4 Wheel Hard Luggage Set of 2,Divya N.,Reviewed in India on 09 September 2025,4.5,Great product!,"Perfect travel companion, just as described in the listing.",True,2026-04-10T05:47:58
Safari,B0OG1SAJFR,Safari Tribe 4 Wheel Hard Luggage Set of 2,Suresh B.,Reviewed in India on 21 January 2026,2.6,Disappointing experience,Not worth the price. Would not recommend to anyone.,True,2026-04-10T05:47:58
Safari,B0OG1SAJFR,Safari Tribe 4 Wheel Hard Luggage Set of 2,Deepika B.,Reviewed in India on 26 September 2025,4.6,Great product!,This is my third bag from this brand — never disappointed.,False,2026-04-10T05:47:58
Safari,B09VWHHMFN,Safari Mint 65 cm Hard Trolley Blue,Deepika B.,Reviewed in India on 26 August 2025,1.3,Disappointing experience,The outer coating started peeling after 4-5 uses.,True,2026-04-10T05:47:58
Safari,B09VWHHMFN,Safari Mint 65 cm Hard Trolley Blue,Aakash S.,Reviewed in India on 15 January 2026,4.4,Great product!,"Great build, great quality. Bought two more for my family.",False,2026-04-10T05:47:58
Safari,B09VWHHMFN,Safari Mint 65 cm Hard Trolley Blue,Anjali K.,Reviewed in India on 03 August 2025,1.4,Disappointing experience,Customer service didn't respond to my damage complaint.,True,2026-04-10T05:47:58
